(688,1.8409090909090908,44,688,Leave It to Beaver (1997),872208000)
(890,1.9534883720930232,43,890,Mortal Kombat: Annihilation (1997),852076800)
(743,1.9487179487179487,39,743,Crow: City of Angels, The (1996),841363200)
(368,1.903225806451613,31,368,Bio-Dome (1996),820454400)
(1215,1.9333333333333333,30,1215,Barb Wire (1996),831081600)
(457,1.7407407407407407,27,457,Free Willy 3: The Rescue (1997),870998400)
(375,1.9565217391304348,23,375,Showgirls (1995),788918400)
(758,1.7142857142857142,21,758,Lawnmower Man 2: Beyond Cyberspace (1996),820454400)
(424,1.3157894736842106,19,424,Children of the Corn: The Gathering (1996),820454400)
(894,1.894736842105263,19,894,Home Alone 3 (1997),852076800)
(1230,1.8333333333333333,18,1230,Ready to Wear (Pret-A-Porter) (1994),757382400)
(453,1.9375,16,453,Jaws 3-D (1983),410227200)
(103,1.8666666666666667,15,103,All Dogs Go to Heaven 2 (1996),828057600)
(440,1.6428571428571428,14,440,Amityville II: The Possession (1982),378691200)
(1165,1.8571428571428572,14,1165,Big Bully (1996),820454400)
(669,1.6153846153846154,13,669,Body Parts (1991),662688000)
(545,1.8333333333333333,12,545,Vampire in Brooklyn (1995),788918400)
(901,1.9166666666666667,12,901,Mr. Magoo (1997),883008000)
(976,1.8333333333333333,12,976,Solo (1996),840758400)
(1254,1.8181818181818181,11,1254,Gone Fishin' (1997),864950400)
(1274,1.7272727272727273,11,1274,Robocop 3 (1993),725846400)
(1336,1.8,10,1336,Kazaam (1996),837561600)
(1087,1.7,10,1087,Bloodsport 2 (1995),825638400)
(1002,1.875,8,1002,Pest, The (1997),855273600)
(981,1.75,8,981,Dangerous Ground (1997),841795200)
(1246,1.5714285714285714,7,1246,Bushwhacked (1995),788918400)
(1177,1.8571428571428572,7,1177,Dunston Checks In (1996),820454400)
(438,1.1666666666666667,6,438,Amityville 3-D (1983),410227200)
(1412,1.6666666666666667,6,1412,Land Before Time III: The Time of the Great Giving (1995) (V),788918400)
(1247,1.8333333333333333,6,1247,Bad Girls (1994),757382400)
(1250,1.5,6,1250,Best of the Best 3: No Turning Back (1995),788918400)
(1287,1.3333333333333333,6,1287,Ed (1996),826243200)
(1162,1.6,5,1162,Phat Beach (1996),838944000)
(314,1.0,5,314,3 Ninjas: High Noon At Mega Mountain (1998),852076800)
(1509,1.6,5,1509,Getting Even with Dad (1994),757382400)
(437,1.0,5,437,Amityville 1992: It's About Time (1992),694224000)
(247,1.8,5,247,Turbo: A Power Rangers Movie (1997),859507200)
(1272,1.8,5,1272,Talking About Sex (1994),757382400)
(104,1.4,5,104,Theodore Rex (1995),828057600)
(439,1.0,5,439,Amityville: A New Generation (1993),725846400)
(1319,1.75,4,1319,Neon Bible, The (1995),825638400)
(1539,1.75,4,1539,Being Human (1993),725846400)
(1257,1.75,4,1257,Designated Mourner, The (1997),864345600)
(442,1.25,4,442,Amityville Curse, The (1990),631152000)
(777,1.25,4,777,Castle Freak (1995),788918400)
(788,1.6666666666666667,3,788,Relative Fear (1994),757382400)
(858,1.0,3,858,Amityville: Dollhouse (1996),820454400)
(1432,1.0,3,1432,Mighty, The (1998),907891200)
(1292,1.6666666666666667,3,1292,Simple Wish, A (1997),868579200)
(1609,1.6666666666666667,3,1609,B*A*P*S (1997),859507200)
(1420,1.3333333333333333,3,1420,Gilligan's Island: The Movie (1998),852076800)
(1318,1.3333333333333333,3,1318,Catwalk (1995),834105600)
(1652,1.6666666666666667,3,1652,Temptress Moon (Feng Yue) (1996),866160000)
(1408,1.0,3,1408,Gordy (1995),788918400)
(1384,1.6666666666666667,3,1384,Squeeze (1996),866160000)
(784,1.0,2,784,Beyond Bedlam (1993),725846400)
(1307,1.5,2,1307,Carmen Miranda: Bananas Is My Business (1994),757382400)
(1334,1.0,2,1334,Somebody to Love (1994),834710400)
(1290,1.5,2,1290,Country Life (1994),757382400)
(1502,1.5,2,1502,Naked in New York (1994),757382400)
(1360,1.5,2,1360,Sexual Life of the Belgians, The (1994),757382400)
(1549,1.5,2,1549,Dream Man (1995),788918400)
(897,1.5,2,897,Time Tracers (1995),788918400)
(1374,1.0,2,1374,Falling in Love Again (1980),315532800)
